id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
1,ECUADOR,,,,,,,21,MUJER 
2,ECUADOR,,,,,,,33,MUJER 
3,ECUADOR,,,,,,,35,MUJER 
4,ECUADOR,,,,,,,28,MUJER 
5,ECUADOR,,,,,,,34,MUJER 
6,ECUADOR,,,,,,,35,MUJER 
7,ECUADOR,,,,,,,24,MUJER
8,ECUADOR,,,,,,,22,MUJER
9,ECUADOR,,,,,,,38,MUJER
10,ECUADOR,,,,,,,53,MUJER
11,ECUADOR,,,,,,,29,MUJER
12,ECUADOR,,,,,,,27,MUJER
13,ECUADOR,,,,,,,23,MUJER
14,ECUADOR,,,,,,,14,MUJER
15,ECUADOR,,,,,,,28,MUJER
16,ECUADOR,,,,,,,20,MUJER
17,ECUADOR,,,,,,,21,MUJER
18,COLOMBIA,,,,,,,20,MUJER
19,ECUADOR,,,,,,,24,MUJER
20,ECUADOR,,,,,,,21,MUJER
21,ECUADOR,,,,,,,38,MUJER
22,COLOMBIA,,,,,,,25,MUJER
23,ECUADOR,,,,,,,28,MUJER
24,ECUADOR,,,,,,,24,MUJER
25,ECUADOR,,,,,,,37,MUJER
26,ECUADOR,,,,,,,34,MUJER
27,ECUADOR,,,,,,,30,MUJER
28,COLOMBIA,,,,,,,28,MUJER
29,ECUADOR,,,,,,,21,MUJER
30,ECUADOR,,,,,,,34,MUJER
31,ECUADOR,,,,,,,27,MUJER
32,ECUADOR,,,,,,,29,MUJER
33,ECUADOR,,,,,,,34,MUJER
34,ECUADOR,,,,,,,51,MUJER
35,ECUADOR,,,,,,,28,MUJER
36,ECUADOR,,,,,,,30,MUJER
37,ECUADOR,,,,,,,40,MUJER
38,ECUADOR,,,,,,,24,MUJER
39,ECUADOR,,,,,,,20,MUJER
40,ECUADOR,,,,,,,28,MUJER
41,ECUADOR,,,,,,,26,MUJER
42,ECUADOR,,,,,,,24,MUJER
43,ECUADOR,,,,,,,37,MUJER
44,ECUADOR,,,,,,,25,MUJER
45,ECUADOR,,,,,,,33,MUJER
46,ECUADOR,,,,,,,28,MUJER
47,ECUADOR,,,,,,,23,MUJER
48,COLOMBIA,,,,,,,27,MUJER
49,ECUADOR,,,,,,,61,MUJER
50,ECUADOR,,,,,,,56,MUJER
51,ECUADOR,,,,,,,54,MUJER
52,ECUADOR,,,,,,,23,MUJER
53,ECUADOR,,,,,,,38,MUJER
54,ECUADOR,,,,,,,38,MUJER
55,ECUADOR,,,,,,,33,MUJER
56,ECUADOR,,,,,,,35,MUJER
57,ECUADOR,,,,,,,29,MUJER
58,ECUADOR,,,,,,,34,MUJER
59,ECUADOR,,,,,,,20,MUJER
60,ECUADOR,,,,,,,20,MUJER
61,ECUADOR,,,,,,,20,MUJER
62,ECUADOR,,,,,,,19,MUJER
63,ECUADOR,,,,,,,20,MUJER
64,ECUADOR,,,,,,,23,MUJER
65,ECUADOR,,,,,,,36,MUJER
66,ECUADOR,,,,,,,35,MUJER
67,ECUADOR,,,,,,,47,MUJER
68,ECUADOR,,,,,,,44,MUJER
69,ECUADOR,,,,,,,28,MUJER
70,ECUADOR,,,,,,,43,MUJER
71,ECUADOR,,,,,,,20,MUJER
72,ECUADOR,,,,,,,51,MUJER
73,ECUADOR,,,,,,,18,MUJER
74,ECUADOR,,,,,,,43,MUJER
75,ECUADOR,,,,,,,47,MUJER
76,ECUADOR,,,,,,,20,MUJER
77,ECUADOR,,,,,,,27,MUJER
78,ECUADOR,,,,,,,18,MUJER
79,ECUADOR,,,,,,,18,MUJER
80,ECUADOR,,,,,,,23,MUJER
81,ECUADOR,,,,,,,26,MUJER
82,ECUADOR,,,,,,,32,MUJER
83,ECUADOR,,,,,,,32,MUJER
84,ECUADOR,,,,,,,29,MUJER
85,ECUADOR,,,,,,,30,MUJER
86,ECUADOR,,,,,,,19,MUJER
87,ECUADOR,,,,,,,22,MUJER
88,ECUADOR,,,,,,,42,MUJER
89,ECUADOR,,,,,,,32,MUJER
90,ECUADOR,,,,,,,26,MUJER
91,ECUADOR,,,,,,,25,MUJER
92,ECUADOR,,,,,,,30,MUJER
93,FRANCIA,,,,,,,39,MUJER
94,COLOMBIA,,,,,,,21,MUJER
95,ECUADOR,,,,,,,25,MUJER
96,ECUADOR,,,,,,,27,MUJER
97,ECUADOR,,,,,,,24,MUJER
98,ECUADOR,,,,,,,29,MUJER
99,ECUADOR,,,,,,,68,MUJER
100,ECUADOR,,,,,,,19,MUJER
101,ECUADOR,,,,,,,21,MUJER
102,ECUADOR,,,,,,,21,MUJER
103,ECUADOR,,,,,,,34,MUJER
104,ECUADOR,,,,,,,35,MUJER
105,ECUADOR,,,,,,,37,MUJER
106,ECUADOR,,,,,,,22,MUJER
107,CUBA,,,,,,,43,MUJER
108,ECUADOR,,,,,,,23,MUJER
109,ECUADOR,,,,,,,27,MUJER
110,ECUADOR,,,,,,,29,MUJER
111,ECUADOR,,,,,,,39,MUJER
112,ECUADOR,,,,,,,33,MUJER
113,ECUADOR,,,,,,,22,MUJER
114,ECUADOR,,,,,,,29,MUJER
115,PERU,,,,,,,23,MUJER
116,ECUADOR,,,,,,,23,MUJER
117,COLOMBIA,,,,,,,21,MUJER
118,ECUADOR,,,,,,,24,MUJER
119,ECUADOR,,,,,,,50,MUJER
120,ECUADOR,,,,,,,32,MUJER
121,ECUADOR,,,,,,,38,MUJER
122,ECUADOR,,,,,,,29,MUJER
123,ECUADOR,,,,,,,24,MUJER
124,ECUADOR,,,,,,,41,MUJER
125,ECUADOR,,,,,,,19,MUJER
126,ECUADOR,,,,,,,24,MUJER
127,ECUADOR,,,,,,,18,MUJER
128,ECUADOR,,,,,,,29,MUJER
129,ECUADOR,,,,,,,42,MUJER
130,ECUADOR,,,,,,,28,MUJER
131,ECUADOR,,,,,,,28,MUJER
132,ECUADOR,,,,,,,39,MUJER
133,ECUADOR,,,,,,,19,MUJER
134,ECUADOR,,,,,,,35,MUJER
135,ECUADOR,,,,,,,30,MUJER
136,ECUADOR,,,,,,,61,MUJER
137,ECUADOR,,,,,,,26,MUJER
138,ECUADOR,,,,,,,30,MUJER
139,ECUADOR,,,,,,,38,MUJER
140,ECUADOR,,,,,,,67,MUJER
141,ECUADOR,,,,,,,40,MUJER
142,ECUADOR,,,,,,,28,MUJER
143,ECUADOR,,,,,,,24,MUJER
144,ECUADOR,,,,,,,18,MUJER
145,ECUADOR,,,,,,,18,MUJER
146,ECUADOR,,,,,,,43,MUJER
147,ECUADOR,,,,,,,19,MUJER
148,ECUADOR,,,,,,,40,MUJER
149,ECUADOR,,,,,,,49,MUJER
150,ECUADOR,,,,,,,19,MUJER
151,COLOMBIA,,,,,,,26,MUJER
152,COLOMBIA,,,,,,,22,MUJER
153,COLOMBIA,,,,,,,41,MUJER
154,CUBA,,,,,,,33,MUJER
155,ECUADOR,,,,,,,26,MUJER
156,ECUADOR,,,,,,,37,MUJER
157,ECUADOR,,,,,,,50,MUJER
158,ECUADOR,,,,,,,34,MUJER
159,COLOMBIA,,,,,,,47,MUJER
160,ECUADOR,,,,,,,36,MUJER
161,ECUADOR,,,,,,,52,MUJER
162,ECUADOR,,,,,,,38,MUJER
163,ECUADOR,,,,,,,31,MUJER
164,ECUADOR,,,,,,,38,MUJER
165,ECUADOR,,,,,,,34,MUJER
166,ECUADOR,,,,,,,23,MUJER
167,ECUADOR,,,,,,,34,MUJER
168,ECUADOR,,,,,,,27,MUJER
169,ECUADOR,,,,,,,53,MUJER
170,ECUADOR,,,,,,,20,MUJER
171,ECUADOR,,,,,,,22,MUJER
172,ECUADOR,,,,,,,26,MUJER
173,ECUADOR,,,,,,,21,MUJER
174,ECUADOR,,,,,,,18,MUJER
175,ECUADOR,,,,,,,34,MUJER
176,ECUADOR,,,,,,,54,MUJER
177,ECUADOR,,,,,,,37,MUJER
178,ECUADOR,,,,,,,38,MUJER
179,ECUADOR,,,,,,,32,MUJER
180,ECUADOR,,,,,,,27,MUJER
181,ECUADOR,,,,,,,31,MUJER
182,ECUADOR,,,,,,,35,MUJER
183,ECUADOR,,,,,,,35,MUJER
184,ECUADOR,,,,,,,32,MUJER
185,ECUADOR,,,,,,,18,MUJER
186,ECUADOR,,,,,,,30,MUJER
187,ECUADOR,,,,,,,35,MUJER
188,ECUADOR,,,,,,,21,MUJER
189,ECUADOR,,,,,,,26,MUJER
190,ECUADOR,,,,,,,33,MUJER
191,ECUADOR,,,,,,,31,MUJER
192,ECUADOR,,,,,,,19,MUJER
193,ECUADOR,,,,,,,38,MUJER
194,ECUADOR,,,,,,,29,MUJER
195,ECUADOR,,,,,,,42,MUJER
196,ECUADOR,,,,,,,37,MUJER
197,ECUADOR,,,,,,,33,MUJER
198,ECUADOR,,,,,,,29,MUJER
199,ECUADOR,,,,,,,26,MUJER
200,COLOMBIA,,,,,,,24,MUJER
201,ECUADOR,,,,,,,29,MUJER
202,ECUADOR,,,,,,,35,MUJER
203,ECUADOR,,,,,,,34,MUJER
204,ECUADOR,,,,,,,23,MUJER
205,COREA,,,,,,,32,MUJER
206,ECUADOR,,,,,,,30,MUJER
207,COLOMBIA,,,,,,,37,MUJER
208,COLOMBIA,,,,,,,27,MUJER
209,ECUADOR,,,,,,,29,MUJER
210,ECUADOR,,,,,,,33,MUJER
211,ECUADOR,,,,,,,24,MUJER
212,ECUADOR,,,,,,,26,MUJER
213,ECUADOR,,,,,,,22,MUJER
214,ECUADOR,,,,,,,39,MUJER
215,ECUADOR,,,,,,,25,MUJER
216,ECUADOR,,,,,,,37,MUJER
217,ECUADOR,,,,,,,52,MUJER
218,ECUADOR,,,,,,,48,MUJER
219,ECUADOR,,,,,,,32,MUJER
220,ECUADOR,,,,,,,33,MUJER
221,ECUADOR,,,,,,,80,MUJER
222,ECUADOR,,,,,,,22,MUJER
223,ECUADOR,,,,,,,20,MUJER
224,ECUADOR,,,,,,,18,MUJER
225,ECUADOR,,,,,,,30,MUJER
226,ECUADOR,,,,,,,19,MUJER
227,ECUADOR,,,,,,,41,MUJER
228,ECUADOR,,,,,,,20,MUJER
229,ECUADOR,,,,,,,41,MUJER
230,ECUADOR,,,,,,,36,MUJER
231,ECUADOR,,,,,,,35,MUJER
232,ECUADOR,,,,,,,42,MUJER
233,ECUADOR,,,,,,,43,MUJER
234,ECUADOR,,,,,,,30,MUJER
235,ECUADOR,,,,,,,27,MUJER
236,ECUADOR,,,,,,,34,MUJER
237,ECUADOR,,,,,,,21,MUJER
238,ECUADOR,,,,,,,38,MUJER
239,ECUADOR,,,,,,,20,MUJER
240,ECUADOR,,,,,,,24,MUJER
241,PERU,,,,,,,36,MUJER
