id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
1,ECUATORIANO,,,,,,,27,HOMBRE
2,ECUATORIANO,,,,,,,31,HOMBRE
3,ECUATORIANO,,,,,,,31,HOMBRE
4,VENEZOLANO,,,,,,,21,HOMBRE
5,ECUATORIANO,,,,,,,42,HOMBRE
6,ECUATORIANO,,,,,,,23,HOMBRE
7,ECUATORIANO,,,,,,,25,HOMBRE
8,ECUATORIANO,,,,,,,15,HOMBRE
9,ECUATORIANO,,,,,,,21,HOMBRE
10,ECUATORIANO,,,,,,,30,HOMBRE
11,ECUATORIANO,,,,,,,17,HOMBRE
12,ECUATORIANO,,,,,,,36,HOMBRE
13,ECUATORIANO,,,,,,,23,HOMBRE
14,ECUATORIANO,,,,,,,43,HOMBRE
15,ECUATORIANO,,,,,,,31,HOMBRE
16,ECUATORIANO,,,,,,,26,HOMBRE
17,ECUATORIANO,,,,,,,24,HOMBRE
18,ECUATORIANO,,,,,,,24,HOMBRE
19,ECUATORIANO,,,,,,,21,HOMBRE
20,ECUATORIANO,,,,,,,24,HOMBRE
21,ECUATORIANO,,,,,,,23,HOMBRE
22,ECUATORIANO,,,,,,,23,HOMBRE
23,ECUATORIANO,,,,,,,25,HOMBRE
24,ECUATORIANO,,,,,,,31,HOMBRE
25,VENEZOLANO,,,,,,,28,HOMBRE
26,ECUATORIANO,,,,,,,37,HOMBRE
27,ECUATORIANO,,,,,,,26,HOMBRE
28,ECUATORIANO,,,,,,,20,HOMBRE
29,ECUATORIANO,,,,,,,25,HOMBRE
30,ECUATORIANO,,,,,,,57,HOMBRE
31,ECUATORIANO,,,,,,,22,HOMBRE
32,ECUATORIANO,,,,,,,24,HOMBRE
33,COLOMBIANO,,,,,,,25,HOMBRE
34,VENEZOLANO,,,,,,,33,MUJER
35,ECUATORIANO,,,,,,,,HOMBRE
36,ECUATORIANO,,,,,,,22,HOMBRE
37,ECUATORIANO,,,,,,,21,HOMBRE
38,ECUATORIANO,,,,,,,41,HOMBRE
39,ECUATORIANO,,,,,,,30,HOMBRE
40,ECUATORIANO,,,,,,,29,HOMBRE
41,ECUATORIANO,,,,,,,34,HOMBRE
42,ECUATORIANO,,,,,,,18,MUJER
43,ECUATORIANO,,,,,,,35,HOMBRE
44,ECUATORIANO,,,,,,,26,HOMBRE
45,ECUATORIANO,,,,,,,28,HOMBRE
46,COLOMBIANO,,,,,,,25,HOMBRE
47,ECUATORIANO,,,,,,,47,HOMBRE
48,ECUATORIANO,,,,,,,21,HOMBRE
49,ECUATORIANO,,,,,,,23,HOMBRE
50,ECUATORIANO,,,,,,,26,HOMBRE
51,ECUATORIANO,,,,,,,,HOMBRE
52,ECUATORIANO,,,,,,,35,HOMBRE
53,ECUATORIANO,,,,,,,37,HOMBRE
54,ECUATORIANO,,,,,,,39,HOMBRE
55,ECUATORIANO,,,,,,,40,HOMBRE
56,VENEZOLANO,,,,,,,21,MUJER
57,ECUATORIANO,,,,,,,45,HOMBRE
58,VENEZOLANO,,,,,,,39,HOMBRE
59,ECUATORIANO,,,,,,,31,HOMBRE
60,VENEZOLANO,,,,,,,26,HOMBRE
61,ECUATORIANO,,,,,,,29,HOMBRE
62,ECUATORIANO,,,,,,,24,HOMBRE
63,ECUATORIANO,,,,,,,24,HOMBRE
64,ECUATORIANO,,,,,,,28,HOMBRE
65,ECUATORIANO,,,,,,,38,MUJER
66,ECUATORIANO,,,,,,,19,HOMBRE
67,ECUATORIANO,,,,,,,25,HOMBRE
68,ECUATORIANO,,,,,,,25,HOMBRE
69,ECUATORIANO,,,,,,,33,HOMBRE
70,VENEZOLANO,,,,,,,33,HOMBRE
71,VENEZOLANO,,,,,,,25,HOMBRE
72,VENEZOLANO,,,,,,,24,HOMBRE
73,VENEZOLANO,,,,,,,22,HOMBRE
74,ECUATORIANO,,,,,,,24,HOMBRE
