id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
132,ECUADOR,,,,,,,30,HOMBRE
133,ECUADOR,,,,,,,35,HOMBRE
134,ECUADOR,,,,,,,68,HOMBRE
135,ECUADOR,,,,,,,24,HOMBRE
136,ECUADOR,,,,,,,26,HOMBRE
137,ECUADOR,,,,,,,19,HOMBRE
138,ECUADOR,,,,,,,47,HOMBRE
139,ECUADOR,,,,,,,32,HOMBRE
140,ECUADOR,,,,,,,25,HOMBRE
141,ECUADOR,,,,,,,40,HOMBRE
142,ECUADOR,,,,,,,21,HOMBRE
143,ECUADOR,,,,,,,18,HOMBRE
144,ECUADOR,,,,,,,34,MUJER
145,ECUADOR,,,,,,,32,HOMBRE
146,ECUADOR,,,,,,,18,HOMBRE
147,ECUADOR,,,,,,,25,HOMBRE
148,ECUADOR,,,,,,,32,HOMBRE
149,ECUADOR,,,,,,,28,HOMBRE
150,ECUADOR,,,,,,,34,HOMBRE
151,ECUADOR,,,,,,,36,HOMBRE
152,ECUADOR,,,,,,,29,HOMBRE
153,ECUADOR,,,,,,,25,MUJER
154,ECUADOR,,,,,,,40,HOMBRE
155,ECUADOR,,,,,,,31,HOMBRE
156,ECUADOR,,,,,,,25,HOMBRE
157,ECUADOR,,,,,,,37,HOMBRE
158,ECUADOR,,,,,,,39,HOMBRE
159,ECUADOR,,,,,,,32,HOMBRE
160,ECUADOR,,,,,,,34,MUJER
161,ECUADOR,,,,,,,28,HOMBRE
162,ECUADOR,,,,,,,23,MUJER
163,ECUADOR,,,,,,,24,HOMBRE
164,ECUADOR,,,,,,,34,HOMBRE
165,ECUADOR,,,,,,,22,HOMBRE
166,ECUADOR,,,,,,,25,HOMBRE
167,ECUADOR,,,,,,,23,HOMBRE
168,ECUADOR,,,,,,,20,MUJER
169,ECUADOR,,,,,,,29,HOMBRE
170,ECUADOR,,,,,,,20,HOMBRE
171,ECUADOR,,,,,,,29,HOMBRE
172,ECUADOR,,,,,,,39,HOMBRE
173,ECUADOR,,,,,,,61,HOMBRE
174,ECUADOR,,,,,,,18,MUJER
175,ECUADOR,,,,,,,40,HOMBRE
176,ECUADOR,,,,,,,58,HOMBRE
177,ECUADOR,,,,,,,26,HOMBRE
178,ECUADOR,,,,,,,58,HOMBRE
179,ECUADOR,,,,,,,25,HOMBRE
180,ECUADOR,,,,,,,26,HOMBRE
181,ECUADOR,,,,,,,35,HOMBRE
182,ECUADOR,,,,,,,29,HOMBRE
183,ECUADOR,,,,,,,27,HOMBRE
184,ECUADOR,,,,,,,22,HOMBRE
185,ECUADOR,,,,,,,25,HOMBRE
186,ECUADOR,,,,,,,19,HOMBRE
187,ECUADOR,,,,,,,54,MUJER
188,COLOMBIA,,,,,,,,MUJER
189,ECUADOR,,,,,,,37,HOMBRE
190,ECUADOR,,,,,,,41,HOMBRE
191,ECUADOR,,,,,,,22,HOMBRE
192,ECUADOR,,,,,,,29,HOMBRE
193,ECUADOR,,,,,,,37,MUJER
194,ECUADOR,,,,,,,22,MUJER
195,ECUADOR,,,,,,,52,HOMBRE
196,ECUADOR,,,,,,,41,HOMBRE
197,COLOMBIA,,,,,,,,HOMBRE
198,ECUADOR,,,,,,,14,HOMBRE
199,ECUADOR,,,,,,,57,HOMBRE
200,ECUADOR,,,,,,,32,HOMBRE
201,ECUADOR,,,,,,,27,HOMBRE
202,ECUADOR,,,,,,,35,HOMBRE
203,ECUADOR,,,,,,,23,HOMBRE
204,ECUADOR,,,,,,,37,HOMBRE
205,ECUADOR,,,,,,,30,HOMBRE
206,ECUADOR,,,,,,,28,HOMBRE
207,ECUADOR,,,,,,,31,HOMBRE
208,ECUADOR,,,,,,,32,HOMBRE
209,ECUADOR,,,,,,,24,HOMBRE
210,ECUADOR,,,,,,,21,HOMBRE
211,ECUADOR,,,,,,,21,HOMBRE
212,ECUADOR,,,,,,,28,HOMBRE
213,ECUADOR,,,,,,,30,HOMBRE
214,ECUADOR,,,,,,,20,HOMBRE
215,ECUADOR,,,,,,,27,HOMBRE
216,ECUADOR,,,,,,,23,HOMBRE
217,ECUADOR,,,,,,,28,HOMBRE
218,ECUADOR,,,,,,,45,HOMBRE
219,ECUADOR,,,,,,,30,HOMBRE
220,ECUADOR,,,,,,,18,HOMBRE
221,ECUADOR,,,,,,,18,MUJER
222,ECUADOR,,,,,,,19,HOMBRE
223,ECUADOR,,,,,,,29,HOMBRE
224,ECUADOR,,,,,,,35,HOMBRE
225,ECUADOR,,,,,,,34,HOMBRE
226,ECUADOR,,,,,,,41,HOMBRE
227,,,,,,,,26,HOMBRE
228,ECUADOR,,,,,,,23,HOMBRE
229,ECUADOR,,,,,,,25,HOMBRE
230,ECUADOR,,,,,,,31,HOMBRE
231,ECUADOR,,,,,,,26,HOMBRE
232,ECUADOR,,,,,,,53,HOMBRE
233,COLOMBIA,,,,,,,,HOMBRE
234,COLOMBIA,,,,,,,,HOMBRE
235,ECUADOR,,,,,,,13,HOMBRE
236,ECUADOR,,,,,,,21,HOMBRE
237,ECUADOR,,,,,,,14,HOMBRE
238,ECUADOR,,,,,,,40,HOMBRE
239,ECUADOR,,,,,,,18,HOMBRE
240,ECUADOR,,,,,,,31,HOMBRE
