id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
1,ECUATORIANO,MESTIZO/A,,0,,,,39,MUJER
2,ECUATORIANO,MESTIZO/A,,4,,,,38,HOMBRE
3,ECUATORIANO,MESTIZO/A,,0,,,,32,HOMBRE
4,ECUATORIANO,MESTIZO/A,,0,,,,27,HOMBRE
5,VENEZOLANO,MESTIZO/A,,0,,,,33,HOMBRE
6,ECUATORIANO,INDÍGENA,,0,,,,33,MUJER
7,ECUATORIANO,MESTIZO/A,,0,,,,23,HOMBRE
8,ECUATORIANO,MESTIZO/A,,0,,,,52,HOMBRE
9,ECUATORIANO,MESTIZO/A,,0,,,,38,HOMBRE
10,ECUATORIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,,0,,,,25,HOMBRE
11,ECUATORIANO,MESTIZO/A,,0,,,,29,HOMBRE
12,VENEZOLANO,MESTIZO/A,,0,,,,,HOMBRE
13,ECUATORIANO,MESTIZO/A,,0,,,,18,HOMBRE
14,ECUATORIANO,MESTIZO/A,,0,,,,37,HOMBRE
15,ECUATORIANO,MESTIZO/A,,0,,,,17,HOMBRE
16,ECUATORIANO,MESTIZO/A,,0,,,,21,HOMBRE
17,ECUATORIANO,MESTIZO/A,,6,,,,42,HOMBRE
18,ECUATORIANO,MESTIZO/A,,0,,,,19,HOMBRE
19,ECUATORIANO,MESTIZO/A,,0,,,,20,HOMBRE
20,ECUATORIANO,MESTIZO/A,,0,,,,24,HOMBRE
21,ECUATORIANO,MESTIZO/A,,0,,,,32,HOMBRE
22,ECUATORIANO,MESTIZO/A,,0,,,,34,HOMBRE
23,ECUATORIANO,MESTIZO/A,,0,,,,22,HOMBRE
24,ECUATORIANO,MESTIZO/A,,0,,,,27,HOMBRE
25,ECUATORIANO,MESTIZO/A,,0,,,,33,HOMBRE
26,ECUATORIANO,,,0,,,,20,HOMBRE
27,ECUATORIANO,MESTIZO/A,,0,,,,16,HOMBRE
28,ECUATORIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,,0,,,,21,HOMBRE
29,ECUATORIANO,MESTIZO/A,,0,,,,29,HOMBRE
30,ECUATORIANO,MESTIZO/A,,0,,,,48,HOMBRE
31,VENEZOLANO,MESTIZO/A,,0,,,,53,HOMBRE
32,ECUATORIANO,,,0,,,,26,HOMBRE
33,ECUATORIANO,MESTIZO/A,,0,,,,30,HOMBRE
34,ECUATORIANO,MESTIZO/A,,0,,,,36,HOMBRE
35,ECUATORIANO,MESTIZO/A,,0,,,,20,MUJER
36,VENEZOLANO,,,0,,,,22,HOMBRE
37,ECUATORIANO,MESTIZO/A,,0,,,,24,HOMBRE
38,ECUATORIANO,MESTIZO/A,,0,,,,25,HOMBRE
39,ECUATORIANO,SHUAR,,0,,,,19,HOMBRE
40,ECUATORIANO,MESTIZO/A,,0,,,,31,MUJER
41,ECUATORIANO,MESTIZO/A,,0,,,,26,HOMBRE
42,ECUATORIANO,MESTIZO/A,,0,,,,23,HOMBRE
43,VENEZOLANO,MESTIZO/A,,0,,,,30,HOMBRE
44,ECUATORIANO,,,0,,,,25,HOMBRE
45,ECUATORIANO,MESTIZO/A,,0,,,,29,MUJER
