id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
1,VENEZOLANO,,,,,,,,HOMBRE
2,VENEZOLANO,,,,,,,23,HOMBRE
3,ECUATORIANO,,,,,,,23,HOMBRE
4,ECUATORIANO,,,,,,,30,HOMBRE
5,ECUATORIANO,,,,,,,37,MUJER
6,ECUATORIANO,,,,,,,31,HOMBRE
7,ECUATORIANO,,,,,,,23,HOMBRE
8,ECUATORIANO,,,,,,,39,HOMBRE
9,ECUATORIANO,,,,,,,40,HOMBRE
10,ECUATORIANO,,,,,,,23,HOMBRE
11,ECUATORIANO,,,,,,,33,HOMBRE
12,ECUATORIANO,,,,,,,32,HOMBRE
13,ECUATORIANO,,,,,,,32,HOMBRE
14,ECUATORIANO,,,,,,,23,HOMBRE
15,ECUATORIANO,,,,,,,21,HOMBRE
16,ECUATORIANO,,,,,,,27,HOMBRE
17,ECUATORIANO,,,,,,,20,HOMBRE
18,ECUATORIANO,,,,,,,35,HOMBRE
19,ECUATORIANO,,,,,,,28,HOMBRE
20,ECUATORIANO,,,,,,,26,HOMBRE
21,ECUATORIANO,,,,,,,33,HOMBRE
22,ECUATORIANO,,,,,,,52,HOMBRE
23,ECUATORIANO,,,,,,,17,HOMBRE
24,ECUATORIANO,,,,,,,18,HOMBRE
25,ECUATORIANO,,,,,,,19,HOMBRE
26,ECUATORIANO,,,,,,,41,HOMBRE
27,PERUANO,,,,,,,,HOMBRE
28,ECUATORIANO,,,,,,,29,HOMBRE
29,ECUATORIANO,,,,,,,39,HOMBRE
30,ECUATORIANO,,,,,,,40,HOMBRE
31,ECUATORIANO,,,,,,,45,HOMBRE
32,ECUATORIANO,,,,,,,32,HOMBRE
33,ECUATORIANO,,,,,,,36,MUJER
34,ECUATORIANO,,,,,,,27,HOMBRE
35,ECUATORIANO,,,,,,,66,HOMBRE
36,ECUATORIANO,,,,,,,21,HOMBRE
37,ECUATORIANO,,,,,,,23,HOMBRE
38,ECUATORIANO,,,,,,,59,HOMBRE
39,ECUATORIANO,,,,,,,34,HOMBRE
40,ECUATORIANO,,,,,,,34,HOMBRE
41,ECUATORIANO,,,,,,,29,HOMBRE
42,ECUATORIANO,,,,,,,36,HOMBRE
43,ECUATORIANO,,,,,,,26,HOMBRE
44,ECUATORIANO,,,,,,,22,HOMBRE
45,ECUATORIANO,,,,,,,25,HOMBRE
46,ECUATORIANO,,,,,,,19,HOMBRE
47,ECUATORIANO,,,,,,,23,HOMBRE
48,ECUATORIANO,,,,,,,25,HOMBRE
49,ECUATORIANO,,,,,,,47,HOMBRE
50,ECUATORIANO,,,,,,,28,HOMBRE
51,ECUATORIANO,,,,,,,29,HOMBRE
52,ECUATORIANO,,,,,,,33,HOMBRE
53,ECUATORIANO,,,,,,,20,HOMBRE
54,ECUATORIANO,,,,,,,26,HOMBRE
55,ECUATORIANO,,,,,,,30,HOMBRE
56,ECUATORIANO,,,,,,,36,HOMBRE
57,ECUATORIANO,,,,,,,31,HOMBRE
58,ECUATORIANO,,,,,,,20,MUJER
59,ECUATORIANO,,,,,,,19,HOMBRE
60,ECUATORIANO,,,,,,,56,HOMBRE
61,ECUATORIANO,,,,,,,31,MUJER
62,ECUATORIANO,,,,,,,20,HOMBRE
63,ECUATORIANO,,,,,,,72,HOMBRE
64,ECUATORIANO,,,,,,,33,HOMBRE
65,PERUANO,,,,,,,33,HOMBRE
66,ECUATORIANO,,,,,,,42,HOMBRE
67,ECUATORIANO,,,,,,,40,HOMBRE
68,ECUATORIANO,,,,,,,20,HOMBRE
69,ECUATORIANO,,,,,,,30,HOMBRE
70,ECUATORIANO,,,,,,,50,HOMBRE
71,ECUATORIANO,,,,,,,73,HOMBRE
72,ECUATORIANO,,,,,,,22,HOMBRE
73,ECUATORIANO,,,,,,,65,HOMBRE
74,ECUATORIANO,,,,,,,23,HOMBRE
75,ECUATORIANO,,,,,,,32,HOMBRE
76,ECUATORIANO,,,,,,,38,HOMBRE
77,ECUATORIANO,,,,,,,42,HOMBRE
78,VENEZOLANO,,,,,,,,HOMBRE
79,ECUATORIANO,,,,,,,19,HOMBRE
80,ECUATORIANO,,,,,,,32,HOMBRE
81,ECUATORIANO,,,,,,,32,HOMBRE
82,ECUATORIANO,,,,,,,39,HOMBRE
83,IRANÍ,,,,,,,33,HOMBRE
84,ECUATORIANO,,,,,,,57,HOMBRE
85,,,,,,,,32,HOMBRE
86,COLOMBIANO,,,,,,,,HOMBRE
87,COLOMBIANO,,,,,,,37,HOMBRE
88,ECUATORIANO,,,,,,,33,HOMBRE
89,ECUATORIANO,,,,,,,46,HOMBRE
90,VENEZOLANO,,,,,,,32,HOMBRE
91,VENEZOLANO,,,,,,,23,HOMBRE
92,ECUATORIANO,,,,,,,23,HOMBRE
93,ECUATORIANO,,,,,,,39,HOMBRE
94,ECUATORIANO,,,,,,,18,HOMBRE
95,ECUATORIANO,,,,,,,21,HOMBRE
96,ECUATORIANO,,,,,,,27,HOMBRE
97,ECUATORIANO,,,,,,,20,HOMBRE
98,ECUATORIANO,,,,,,,27,HOMBRE
99,ECUATORIANO,,,,,,,22,HOMBRE
100,ECUATORIANO,,,,,,,33,HOMBRE
101,ECUATORIANO,,,,,,,39,HOMBRE
102,ECUATORIANO,,,,,,,17,HOMBRE
103,ECUATORIANO,,,,,,,37,HOMBRE
104,ECUATORIANO,,,,,,,18,HOMBRE
105,ECUATORIANO,,,,,,,29,HOMBRE
106,ECUATORIANO,,,,,,,25,HOMBRE
107,ECUATORIANO,,,,,,,56,HOMBRE
108,ECUATORIANO,,,,,,,25,HOMBRE
109,ECUATORIANO,,,,,,,25,HOMBRE
110,ECUATORIANO,,,,,,,23,HOMBRE
111,ECUATORIANO,,,,,,,19,HOMBRE
112,ECUATORIANO,,,,,,,42,MUJER
113,ECUATORIANO,,,,,,,38,HOMBRE
114,ECUATORIANO,,,,,,,38,HOMBRE
115,ECUATORIANO,,,,,,,27,HOMBRE
116,ECUATORIANO,,,,,,,29,HOMBRE
117,ECUATORIANO,,,,,,,32,MUJER
118,ECUATORIANO,,,,,,,38,HOMBRE
119,ECUATORIANO,,,,,,,49,HOMBRE
120,ECUATORIANO,,,,,,,51,HOMBRE
121,ECUATORIANO,,,,,,,44,HOMBRE
122,ECUATORIANO,,,,,,,44,HOMBRE
123,ECUATORIANO,,,,,,,19,HOMBRE
124,ECUATORIANO,,,,,,,17,HOMBRE
125,ECUATORIANO,,,,,,,37,HOMBRE
126,ECUATORIANO,,,,,,,23,HOMBRE
127,ECUATORIANO,,,,,,,32,HOMBRE
128,ECUATORIANO,,,,,,,26,HOMBRE
129,ECUATORIANO,,,,,,,40,HOMBRE
130,ECUATORIANO,,,,,,,46,HOMBRE
131,ECUATORIANO,,,,,,,21,HOMBRE
132,ECUATORIANO,,,,,,,30,HOMBRE
133,ECUATORIANO,,,,,,,35,HOMBRE
134,ECUATORIANO,,,,,,,35,HOMBRE
135,ECUATORIANO,,,,,,,26,HOMBRE
136,ECUATORIANO,,,,,,,42,HOMBRE
137,ECUATORIANO,,,,,,,46,HOMBRE
138,ECUATORIANO,,,,,,,27,HOMBRE
139,ECUATORIANO,,,,,,,34,HOMBRE
