"codigo_subzona";"nombre_subzona";"codigo_subcircuito";"codigo_circuito";"codigo_distrito";"nombre_subcircuito";"nombre_circuito";"nombre_distrito";"zonas_nombre_zona"
202;"SUCUMBIOS";"21D03C04S02";"21D03C04";"21D03";"PUERTO DEL CARMEN 2";"PUERTO DEL CARMEN";"PUTUMAYO";"ZONA 1"
203;"ESMERALDAS";"08D06C01S02";"08D06C01";"08D06";"PALESTINA 2";"PALESTINA";"RIO VERDE";"ZONA 1"
204;"ESMERALDAS";"08D05C03S01";"08D05C03";"08D05";"TAMBILLO 1";"TAMBILLO";"SAN LORENZO";"ZONA 1"
205;"CARCHI";"04D02C03S01";"04D02C03";"04D02";"GARCIA MORENO 1";"GARCIA MORENO";"MONTUFAR";"ZONA 1"
206;"IMBABURA";"10D03C03S01";"10D03C03";"10D03";"INTAG 1";"INTAG";"TIERRA DEL SOL";"ZONA 1"
207;"ESMERALDAS";"08D01C19S02";"08D01C19";"08D01";"TABIAZO 2";"TABIAZO";"ESMERALDAS";"ZONA 1"
208;"ESMERALDAS";"08D03C04S01";"08D03C04";"08D03";"MOMPICHE 1";"MOMPICHE";"ATACAMES";"ZONA 1"
209;"ESMERALDAS";"08D02C02S01";"08D02C02";"08D02";"ANCHAYACU 1";"ANCHAYACU";"ELOY ALFARO";"ZONA 1"
210;"CARCHI";"04D01C12S02";"04D01C12";"04D01";"CHICAL 2";"CHICAL";"TULCAN";"ZONA 1"
211;"ESMERALDAS";"08D01C16S01";"08D01C16";"08D01";"VUELTA LARGA NORTE 1";"VUELTA LARGA NORTE";"ESMERALDAS";"ZONA 1"
212;"IMBABURA";"10D02C16S01";"10D02C16";"10D02";"SELVA ALEGRE 1";"SELVA ALEGRE";"VALLE DEL AMANECER";"ZONA 1"
213;"PICHINCHA";"17D12C04S01";"17D12C04";"17D12";"LOS BANCOS 1";"LOS BANCOS";"NOROCCIDENTE";"ZONA 2"
214;"ORELLANA";"22D01C03S01";"22D01C03";"22D01";"SACHAS 1";"SACHAS";"LA JOYA DE LOS SACHAS";"ZONA 2"
215;"PICHINCHA";"17D11C13S01";"17D11C13";"17D11";"FAJARDO 1";"FAJARDO";"RUMINAHUI - MEJIA";"ZONA 2"
216;"ORELLANA";"22D01C02S01";"22D01C02";"22D01";"SAN PEDRO 1";"SAN PEDRO";"LA JOYA DE LOS SACHAS";"ZONA 2"
217;"PICHINCHA";"17D10C05S01";"17D10C05";"17D10";"CUSUBAMBA 1";"CUSUBAMBA";"CAYAMBE";"ZONA 2"
218;"ORELLANA";"22D02C06S01";"22D02C06";"22D02";"NUEVO PARAISO 1";"NUEVO PARAISO";"ORELLANA LORETO";"ZONA 2"
219;"PICHINCHA";"17D10C02S02";"17D10C02";"17D10";"CAYAMBE NORTE 2";"CAYAMBE NORTE";"CAYAMBE";"ZONA 2"
220;"NAPO";"15D01C01S01";"15D01C01";"15D01";"ARCHIDONA 1";"ARCHIDONA";"TENA";"ZONA 2"
221;"PICHINCHA";"17D12C03S02";"17D12C03";"17D12";"PUERTO QUITO SUR 2";"PUERTO QUITO SUR";"NOROCCIDENTE";"ZONA 2"
222;"ORELLANA";"22D02C05S04";"22D02C05";"22D02";"COCA OCCIDENTE 4";"COCA OCCIDENTE";"ORELLANA LORETO";"ZONA 2"
223;"PICHINCHA";"17D11C08S02";"17D11C08";"17D11";"RURAL 2";"RURAL";"RUMINAHUI - MEJIA";"ZONA 2"
224;"PICHINCHA";"17D11C09S01";"17D11C09";"17D11";"MOLINUCO 1";"MOLINUCO";"RUMINAHUI - MEJIA";"ZONA 2"
225;"NAPO";"15D01C09S01";"15D01C09";"15D01";"AHUANO 1";"AHUANO";"TENA";"ZONA 2"
226;"NAPO";"15D02C01S01";"15D02C01";"15D02";"EL CHACO 1";"EL CHACO";"EL VALLE DE QUIJOS";"ZONA 2"
227;"PICHINCHA";"17D11C13S02";"17D11C13";"17D11";"FAJARDO 2";"FAJARDO";"RUMINAHUI - MEJIA";"ZONA 2"
228;"PICHINCHA";"17D10C01S01";"17D10C01";"17D10";"EL PRADO 1";"EL PRADO";"CAYAMBE";"ZONA 2"
229;"PICHINCHA";"17D11C09S02";"17D11C09";"17D11";"MOLINUCO 2";"MOLINUCO";"RUMINAHUI - MEJIA";"ZONA 2"
230;"PICHINCHA";"17D11C11S01";"17D11C11";"17D11";"SAN RAFAEL 1";"SAN RAFAEL";"RUMINAHUI - MEJIA";"ZONA 2"
231;"PICHINCHA";"17D11C01S01";"17D11C01";"17D11";"MACHACHI SUR 1";"MACHACHI SUR";"RUMINAHUI - MEJIA";"ZONA 2"
232;"ORELLANA";"22D02C04S03";"22D02C04";"22D02";"COCA ORIENTE 3";"COCA ORIENTE";"ORELLANA LORETO";"ZONA 2"
233;"ORELLANA";"22D02C05S01";"22D02C05";"22D02";"COCA OCCIDENTE 1";"COCA OCCIDENTE";"ORELLANA LORETO";"ZONA 2"
234;"PICHINCHA";"17D12C04S03";"17D12C04";"17D12";"LOS BANCOS 3";"LOS BANCOS";"NOROCCIDENTE";"ZONA 2"
235;"NAPO";"15D02C05S01";"15D02C05";"15D02";"SAN FRANCISCO DE BORJA 1";"SAN FRANCISCO DE BORJA";"EL VALLE DE QUIJOS";"ZONA 2"
236;"PICHINCHA";"17D10C07S01";"17D10C07";"17D10";"TABACUNDO 1";"TABACUNDO";"CAYAMBE";"ZONA 2"
237;"PICHINCHA";"17D10C07S02";"17D10C07";"17D10";"TABACUNDO 2";"TABACUNDO";"CAYAMBE";"ZONA 2"
238;"ORELLANA";"22D01C01S02";"22D01C01";"22D01";"SAN SEBASTIAN 2";"SAN SEBASTIAN";"LA JOYA DE LOS SACHAS";"ZONA 2"
239;"ORELLANA";"22D02C07S01";"22D02C07";"22D02";"LA BELLEZA 1";"LA BELLEZA";"ORELLANA LORETO";"ZONA 2"
240;"PICHINCHA";"17D11C03S02";"17D11C03";"17D11";"CUTUGLAGUA 2";"CUTUGLAGUA";"RUMINAHUI - MEJIA";"ZONA 2"
241;"PICHINCHA";"17D11C12S02";"17D11C12";"17D11";"SANGOLQUI 2";"SANGOLQUI";"RUMINAHUI - MEJIA";"ZONA 2"
242;"PICHINCHA";"17D11C02S01";"17D11C02";"17D11";"MACHACHI NORTE 1";"MACHACHI NORTE";"RUMINAHUI - MEJIA";"ZONA 2"
243;"NAPO";"15D01C05S02";"15D01C05";"15D01";"PALANDACOCHA 2";"PALANDACOCHA";"TENA";"ZONA 2"
244;"ORELLANA";"22D02C03S01";"22D02C03";"22D02";"PAYAMINO 1";"PAYAMINO";"ORELLANA LORETO";"ZONA 2"
245;"NAPO";"15D01C02S01";"15D01C02";"15D01";"KM 24 1";"KM 24";"TENA";"ZONA 2"
246;"ORELLANA";"22D01C04S01";"22D01C04";"22D01";"POMPEYA 1";"POMPEYA";"LA JOYA DE LOS SACHAS";"ZONA 2"
247;"ORELLANA";"22D02C08S01";"22D02C08";"22D02";"DAYUMA 1";"DAYUMA";"ORELLANA LORETO";"ZONA 2"
248;"PICHINCHA";"17D12C03S01";"17D12C03";"17D12";"PUERTO QUITO SUR 1";"PUERTO QUITO SUR";"NOROCCIDENTE";"ZONA 2"
249;"PICHINCHA";"17D10C03S02";"17D10C03";"17D10";"CAYAMBE SUR 2";"CAYAMBE SUR";"CAYAMBE";"ZONA 2"
250;"ORELLANA";"22D02C05S02";"22D02C05";"22D02";"COCA OCCIDENTE 2";"COCA OCCIDENTE";"ORELLANA LORETO";"ZONA 2"
251;"ORELLANA";"22D02C06S02";"22D02C06";"22D02";"NUEVO PARAISO 2";"NUEVO PARAISO";"ORELLANA LORETO";"ZONA 2"
252;"PICHINCHA";"17D11C06S01";"17D11C06";"17D11";"TANDAPI 1";"TANDAPI";"RUMINAHUI - MEJIA";"ZONA 2"
253;"NAPO";"15D01C06S01";"15D01C06";"15D01";"TALAG 1";"TALAG";"TENA";"ZONA 2"
254;"NAPO";"15D01C04S01";"15D01C04";"15D01";"AEROPUERTO 1";"AEROPUERTO";"TENA";"ZONA 2"
255;"NAPO";"15D02C05S02";"15D02C05";"15D02";"SAN FRANCISCO DE BORJA 2";"SAN FRANCISCO DE BORJA";"EL VALLE DE QUIJOS";"ZONA 2"
256;"PICHINCHA";"17D10C03S01";"17D10C03";"17D10";"CAYAMBE SUR 1";"CAYAMBE SUR";"CAYAMBE";"ZONA 2"
257;"PICHINCHA";"17D11C04S02";"17D11C04";"17D11";"PASOCHOA 2";"PASOCHOA";"RUMINAHUI - MEJIA";"ZONA 2"
258;"PICHINCHA";"17D11C12S03";"17D11C12";"17D11";"SANGOLQUI 3";"SANGOLQUI";"RUMINAHUI - MEJIA";"ZONA 2"
259;"ORELLANA";"22D02C01S01";"22D02C01";"22D02";"24 DE MAYO 1";"24 DE MAYO";"ORELLANA LORETO";"ZONA 2"
260;"ORELLANA";"22D03C02S01";"22D03C02";"22D03";"NUEVO ROCAFUERTE 1";"NUEVO ROCAFUERTE";"AGUARICO";"ZONA 2"
261;"PICHINCHA";"17D11C02S02";"17D11C02";"17D11";"MACHACHI NORTE 2";"MACHACHI NORTE";"RUMINAHUI - MEJIA";"ZONA 2"
262;"ORELLANA";"22D02C05S03";"22D02C05";"22D02";"COCA OCCIDENTE 3";"COCA OCCIDENTE";"ORELLANA LORETO";"ZONA 2"
263;"ORELLANA";"22D02C02S01";"22D02C02";"22D02";"LORETO 1";"LORETO";"ORELLANA LORETO";"ZONA 2"
264;"NAPO";"15D01C05S01";"15D01C05";"15D01";"PALANDACOCHA 1";"PALANDACOCHA";"TENA";"ZONA 2"
265;"PICHINCHA";"17D11C03S01";"17D11C03";"17D11";"CUTUGLAGUA 1";"CUTUGLAGUA";"RUMINAHUI - MEJIA";"ZONA 2"
266;"PICHINCHA";"17D12C01S02";"17D12C01";"17D12";"MALDONADO 2";"MALDONADO";"NOROCCIDENTE";"ZONA 2"
267;"PICHINCHA";"17D10C02S03";"17D10C02";"17D10";"CAYAMBE NORTE 3";"CAYAMBE NORTE";"CAYAMBE";"ZONA 2"
268;"PICHINCHA";"17D10C08S01";"17D10C08";"17D10";"MALCHINGUI 1";"MALCHINGUI";"CAYAMBE";"ZONA 2"
269;"NAPO";"15D01C08S01";"15D01C08";"15D01";"YURALPA 1";"YURALPA";"TENA";"ZONA 2"
270;"NAPO";"15D01C03S01";"15D01C03";"15D01";"AROSEMENA TOLA 1";"AROSEMENA TOLA";"TENA";"ZONA 2"
271;"PICHINCHA";"17D10C05S02";"17D10C05";"17D10";"CUSUBAMBA 2";"CUSUBAMBA";"CAYAMBE";"ZONA 2"
272;"ORELLANA";"22D02C05S05";"22D02C05";"22D02";"COCA OCCIDENTE 5";"COCA OCCIDENTE";"ORELLANA LORETO";"ZONA 2"
273;"ORELLANA";"22D02C08S03";"22D02C08";"22D02";"DAYUMA 3";"DAYUMA";"ORELLANA LORETO";"ZONA 2"
274;"NAPO";"15D02C03S01";"15D02C03";"15D02";"SANTA ROSA 1";"SAN ROSA";"EL VALLE DE QUIJOS";"ZONA 2"
275;"ORELLANA";"22D01C03S02";"22D01C03";"22D01";"SACHAS 2";"SACHAS";"LA JOYA DE LOS SACHAS";"ZONA 2"
276;"ORELLANA";"22D02C08S02";"22D02C08";"22D02";"DAYUMA 2";"DAYUMA";"ORELLANA LORETO";"ZONA 2"
277;"PICHINCHA";"17D11C11S02";"17D11C11";"17D11";"SAN RAFAEL 2";"SAN RAFAEL";"RUMINAHUI - MEJIA";"ZONA 2"
278;"PICHINCHA";"17D10C02S01";"17D10C02";"17D10";"CAYAMBE NORTE 1";"CAYAMBE NORTE";"CAYAMBE";"ZONA 2"
279;"NAPO";"15D01C07S02";"15D01C07";"15D01";"MISAHUALLI 2";"MISAHUALLI";"TENA";"ZONA 2"
280;"PICHINCHA";"17D12C01S01";"17D12C01";"17D12";"MALDONADO 1";"MALDONADO";"NOROCCIDENTE";"ZONA 2"
281;"NAPO";"15D01C07S01";"15D01C07";"15D01";"MISAHUALLI 1";"MISAHUALLI";"TENA";"ZONA 2"
282;"PICHINCHA";"17D12C02S02";"17D12C02";"17D12";"PUERTO QUITO NORTE 2";"PUERTO QUITO NORTE";"NOROCCIDENTE";"ZONA 2"
283;"PICHINCHA";"17D12C01S03";"17D12C01";"17D12";"MALDONADO 3";"MALDONADO";"NOROCCIDENTE";"ZONA 2"
284;"PICHINCHA";"17D11C10S02";"17D11C10";"17D11";"RUMINAHUI 2";"RUMINAHUI";"RUMINAHUI - MEJIA";"ZONA 2"
285;"ORELLANA";"22D02C02S02";"22D02C02";"22D02";"LORETO 2";"LORETO";"ORELLANA LORETO";"ZONA 2"
286;"NAPO";"15D02C06S01";"15D02C06";"15D02";"PAPALLACTA 1";"PAPALLACTA";"EL VALLE DE QUIJOS";"ZONA 2"
287;"ORELLANA";"22D01C01S01";"22D01C01";"22D01";"SAN SEBASTIAN 1";"SAN SEBASTIAN";"LA JOYA DE LOS SACHAS";"ZONA 2"
288;"PICHINCHA";"17D11C08S01";"17D11C08";"17D11";"RURAL 1";"RURAL";"RUMINAHUI - MEJIA";"ZONA 2"
289;"ORELLANA";"22D02C04S02";"22D02C04";"22D02";"COCA ORIENTE 2";"COCA ORIENTE";"ORELLANA LORETO";"ZONA 2"
290;"PICHINCHA";"17D11C04S01";"17D11C04";"17D11";"PASOCHOA 1";"PASOCHOA";"RUMINAHUI - MEJIA";"ZONA 2"
291;"PICHINCHA";"17D11C05S01";"17D11C05";"17D11";"ALOAG 1";"ALOAG";"RUMINAHUI - MEJIA";"ZONA 2"
292;"ORELLANA";"22D02C11S01";"22D02C11";"22D02";"SAN LUIS DE ARMENIA 1";"SAN LUIS DE ARMENIA";"ORELLANA LORETO";"ZONA 2"
293;"ORELLANA";"22D02C04S04";"22D02C04";"22D02";"COCA ORIENTE 4";"COCA ORIENTE";"ORELLANA LORETO";"ZONA 2"
294;"PICHINCHA";"17D11C07S01";"17D11C07";"17D11";"ILINIZAS 1";"ILINIZAS";"RUMINAHUI - MEJIA";"ZONA 2"
295;"PICHINCHA";"17D10C04S01";"17D10C04";"17D10";"CANGAGUA 1";"CANGAGUA";"CAYAMBE";"ZONA 2"
296;"PICHINCHA";"17D11C10S01";"17D11C10";"17D11";"RUMINAHUI 1";"RUMINAHUI";"RUMINAHUI - MEJIA";"ZONA 2"
297;"PICHINCHA";"17D12C04S02";"17D12C04";"17D12";"LOS BANCOS 2";"LOS BANCOS";"NOROCCIDENTE";"ZONA 2"
298;"NAPO";"15D01C04S02";"15D01C04";"15D01";"AEROPUERTO 2";"AEROPUERTO";"TENA";"ZONA 2"
299;"ORELLANA";"22D02C09S01";"22D02C09";"22D02";"ALEJANDRO LABAKA 1";"ALEJANDRO LABAKA";"ORELLANA LORETO";"ZONA 2"
300;"PICHINCHA";"17D12C04S04";"17D12C04";"17D12";"LOS BANCOS 4";"LOS BANCOS";"NOROCCIDENTE";"ZONA 2"
301;"PICHINCHA";"17D10C06S01";"17D10C06";"17D10";"OLMEDO 1";"OLMEDO";"CAYAMBE";"ZONA 2"
302;"ORELLANA";"22D01C02S03";"22D01C02";"22D01";"SAN PEDRO 3";"SAN PEDRO";"LA JOYA DE LOS SACHAS";"ZONA 2"
303;"ORELLANA";"22D02C04S01";"22D02C04";"22D02";"COCA ORIENTE 1";"COCA ORIENTE";"ORELLANA LORETO";"ZONA 2"
