"codigo_canton";"nombre_canton";"poblacion_cantonal";"Provincias_codigo_provincia"
1905;"YANTZAZA";23370;19
1906;"EL PANGUI";12768;19
1907;"CENTINELA DEL CONDOR";7882;19
1908;"PALANDA";8873;19
1909;"PAQUISHA";4737;19
2001;"SAN CRISTOBAL";8300;20
2002;"ISABELA";3050;20
2003;"SANTA CRUZ";17233;20
2101;"LAGO AGRIO";105044;21
2102;"GONZALO PIZARRO";10356;21
2103;"PUTUMAYO";9018;21
2104;"SHUSHUFINDI";50826;21
2105;"SUCUMBIOS";3174;21
2106;"CASCALES";11744;21
2107;"CUYABENO";8852;21
2201;"ORELLANA";95130;22
2202;"AGUARICO";6872;22
2203;"LA JOYA DE LOS SACHAS";52444;22
2204;"LORETO";27720;22
2401;"SANTA ELENA";186687;24
2402;"LA LIBERTAD";112247;24
2403;"SALINAS";86801;24
9004;"EL PIEDRERO";3500;90
